County,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Total_Male,Total_Female,Total_age0to17,Total_age18to64,Total_age65plus,Total_age85plusr,All Specialties (AAMC),Cardiovascular Disease (AAMC),Pediatrics** (AAMC),Pulmonary Disease (AAMC),Geriatrics Primary Care (2019),Emergency Medicine specialists (2019),Cardiology specialists (2019),crime_rate_per_100000,Hotspot
Hardee County,5.8,0.6,-4.8,-4.3,24.2,47.9,17.4,10.4,5.3,39169,70.7,9722,43.5,15.2,14376,12869,7141,15572,4532,547,72.25142487,2.101641014,4.45271599,0.537242377,0.134310594,3.74534686,2.695165927,276172826,0
Hendry County,6.2,12.1,-8.3,3.8,34.3,34.8,22.7,8.2,6.1,44391,80.1,14564,34,12.6,22163,19393,10964,24880,5712,731,110.2029808,3.205571444,6.791597199,0.819440053,0.204860013,5.712667796,4.110857598,621814203,0
Hernando County,-6.4,2.5,25.4,27.9,12.6,36.4,33.5,17.5,4.5,45884,82.8,84504,365.6,178.8,91975,98890,34957,103496,52412,6445,506.1577613,14.72305789,31.19352679,3.763654482,0.940913621,26.23804839,18.88099998,2952287593,0
Highlands County,-7,6.5,13.5,20,15.3,38,29.8,17,4.8,39994,72.1,55386,97.2,54.5,51515,53909,17970,50232,37222,5501,279.5754896,8.132259215,17.22969831,2.078848978,0.519712244,14.49254716,10.42889237,2714718899,0
Hillsborough County,4.1,8.4,6.2,14.7,11.6,27.1,28.6,32.7,3.4,58361,105.3,536092,1204.9,525.5,702940,733948,323986,907587,205315,23732,3810.504877,110.8395212,234.8340677,28.33390072,7.083475181,197.527765,142.1417353,3538307404,1
Holmes County,-1.4,-0.3,3.3,3,22.6,39,28.1,10.3,4,38040,68.6,8641,41.6,18,10336,9141,3938,11668,3871,419,51.65134895,1.50242841,3.183173035,0.384065692,0.096016423,2.67748654,1.926729556,2434447431,0
Indian River County,-5.4,2.5,22.7,25.2,11.3,29.7,30.6,28.3,4.3,58228,105,76346,274.5,151.8,75421,81992,25219,80175,52019,7562,417.4458999,12.14261762,25.72638584,3.104016677,0.776004169,21.63943055,15.57181699,3084637379,0
Jackson County,-2.2,1.4,-0.3,1.1,19.3,37.4,29.8,13.4,4,39545,71.3,21003,54.2,22.9,26615,21690,8961,29920,9424,1134,128.1007553,3.72617982,7.894602528,0.952523143,0.238130786,6.640447056,4.778491102,4231225216,0
Jefferson County,-2.5,0,12.4,12.4,17.9,33.3,26.7,22,3.7,46332,83.6,6632,24.7,11.1,7491,6797,2431,8495,3362,370,37.89056188,1.102156242,2.335122263,0.28174414,0.070436035,1.964159146,1.413416435,6199802734,0
Lafayette County,-1.6,11.8,2.5,14.3,23.9,40.8,19.6,15.8,3.2,42689,77,3328,16.3,6.1,4986,3746,1771,5560,1401,160,23.156522,0.67357421,1.427091798,0.172185738,0.043046435,1.200380575,0.863798454,3051537071,0
Lake County,-3,3.4,31.9,35.3,10.7,32.9,33.7,22.7,3.5,52447,94.6,144996,316.6,154.5,172515,183980,68268,193118,95109,11223,945.394447,27.49952334,58.26283673,7.029701645,1.757425411,49.0070629,35.26566992,3236655694,0
Lee County,-1.6,5.4,16.3,21.7,12,30.8,29.4,27.8,3.4,56343,101.6,371099,788.7,473,369372,385238,132623,406093,215894,26050,2001.161597,58.209555,123.3277303,14.88010536,3.720026339,103.7355916,74.64852853,3379139787,1
Leon County,3.7,3.2,-2.7,0.6,6.4,19.1,28.8,45.7,3.3,51046,92.1,124136,413.1,186.2,138642,153860,54472,198875,39155,4223,775.6904488,22.56319325,47.80430657,5.767827854,1.441956963,40.20999989,28.93526973,6641948589,1
Levy County,-3.7,0.8,14.4,15.1,15.7,41.1,30.5,12.6,3.8,39037,70.4,20123,36.5,18,19903,20867,7956,22711,10103,889,108.1185756,3.144940509,6.663139325,0.80394097,0.200985242,5.604617048,4.033103866,282514378,0
Liberty County,1.7,0.1,23.8,24,18.6,47.9,20.8,12.7,3.8,40814,73.6,3357,10,4,5215,3242,1512,5716,1229,102,22.42724537,0.652361096,1.382147885,0.166763031,0.041690758,1.162576561,0.83659454,1557072703,0
Madison County,-1.6,1.1,3.9,5,19.3,38.1,28.8,13.8,3.9,38249,69,8481,27.6,12.2,9799,8730,3492,11239,3798,416,49.13733351,1.429301022,3.028239111,0.365372142,0.091343036,2.54716579,1.832950246,8222981632,0
Manatee County,-1.9,4,21.8,25.8,10.8,30.4,29.5,29.3,3.4,59587,107.5,172690,434.5,232.4,190647,204208,72121,214561,108173,14617,1047.121907,30.45855984,64.53210395,7.786119983,1.946529996,54.28037931,39.06036858,5857833537,1
Marion County,-4.4,2.7,19.2,21.8,12.7,37.5,30.5,19.4,4.3,44517,80.3,164050,209.1,103.5,172642,187335,66922,188877,104178,11649,954.6284151,27.76811993,58.83190838,7.098362976,1.774590744,49.48573046,35.61012093,479010677,0
